step,episode,episode_return,episode_len,epsilon,success
35712,559,-0.6400,64,0.7738,0
35776,560,-0.6400,64,0.7734,0
35840,561,-0.6400,64,0.7730,0
35904,562,-0.6400,64,0.7726,0
35968,563,-0.6400,64,0.7722,0
36032,564,-0.6400,64,0.7718,0
36076,565,0.5700,44,0.7715,1
36140,566,-0.6400,64,0.7711,0
36204,567,-0.6400,64,0.7707,0
36268,568,-0.6400,64,0.7703,0
36332,569,-0.6400,64,0.7699,0
36396,570,-0.6400,64,0.7695,0
36460,571,-0.6400,64,0.7691,0
36524,572,-0.6400,64,0.7687,0
36588,573,-0.6400,64,0.7683,0
36652,574,-0.6400,64,0.7679,0
36716,575,-0.6400,64,0.7675,0
36780,576,-0.6400,64,0.7671,0
36844,577,-0.6400,64,0.7667,0
36908,578,-0.6400,64,0.7662,0
36972,579,-0.6400,64,0.7658,0
37036,580,-0.6400,64,0.7654,0
37100,581,-0.6400,64,0.7650,0
37164,582,-0.6400,64,0.7646,0
37228,583,-0.6400,64,0.7642,0
37292,584,-0.6400,64,0.7638,0
37346,585,0.4700,54,0.7635,1
37410,586,-0.6400,64,0.7631,0
37465,587,0.4600,55,0.7627,1
37529,588,-0.6400,64,0.7623,0
37593,589,-0.6400,64,0.7619,0
37657,590,-0.6400,64,0.7615,0
37721,591,-0.6400,64,0.7611,0
37785,592,-0.6400,64,0.7607,0
37849,593,-0.6400,64,0.7603,0
37889,594,0.6100,40,0.7600,1
37953,595,-0.6400,64,0.7596,0
38017,596,-0.6400,64,0.7592,0
38081,597,-0.6400,64,0.7588,0
38145,598,-0.6400,64,0.7584,0
38209,599,-0.6400,64,0.7580,0
38273,600,-0.6400,64,0.7576,0
38337,601,-0.6400,64,0.7572,0
38401,602,-0.6400,64,0.7568,0
38465,603,-0.6400,64,0.7564,0
38529,604,-0.6400,64,0.7560,0
38593,605,-0.6400,64,0.7556,0
38657,606,-0.6400,64,0.7552,0
38718,607,0.4000,61,0.7548,1
38782,608,-0.6400,64,0.7544,0
38846,609,-0.6400,64,0.7540,0
38907,610,0.4000,61,0.7536,1
38971,611,-0.6400,64,0.7532,0
39035,612,-0.6400,64,0.7528,0
39099,613,-0.6400,64,0.7524,0
39163,614,-0.6400,64,0.7520,0
39227,615,-0.6400,64,0.7516,0
39291,616,-0.6400,64,0.7512,0
39355,617,-0.6400,64,0.7508,0
39419,618,-0.6400,64,0.7503,0
39483,619,-0.6400,64,0.7499,0
39547,620,-0.6400,64,0.7495,0
39611,621,-0.6400,64,0.7491,0
39675,622,-0.6400,64,0.7487,0
39739,623,-0.6400,64,0.7483,0
39803,624,-0.6400,64,0.7479,0
39867,625,-0.6400,64,0.7475,0
39931,626,-0.6400,64,0.7471,0
39995,627,-0.6400,64,0.7467,0
40049,628,0.4700,54,0.7464,1
40113,629,-0.6400,64,0.7460,0
